Code,Name,Name_Chinese,Address,Postcode,City,State,District_Education_Office,Established,X,Y
AEB0038,SEKOLAH MENENGAH KEBANGSAAN CHOONG HUA,美罗中华国民型华文中学,JALAN PASAR,35500,BIDOR,PERAK,PPD BATANG PADANG,31/12/1955,101.2856512,4.11133002
AEB1031,SEKOLAH MENENGAH KEBANGSAAN NAN HWA,实兆远南华国民型华文中学,JALAN LIN CHEN MEI,32000,SITIAWAN,PERAK,PPD MANJUNG,24/11/1935,100.6998911,4.203540982
AEB1033,SEKOLAH MENENGAH KEBANGSAAN DINDINGS,天定国民型华文中学,PUNDUT,32200,LUMUT,PERAK,PPD MANJUNG,1/1/1960,100.636654,4.211425
AEB1034,SEKOLAH MENENGAH KEBANGSAAN AYER TAWAR,爱大华国民型华文中学,JALAN PASAR,32400,AYER TAWAR,PERAK,PPD MANJUNG,2/1/1961,100.7567902,4.296246886
AEB2051,SEKOLAH MENENGAH KEBANGSAAN PEREMPUAN PERAK,霹雳女子国民型华文中学,NO.247 JLN RAJA PERMAISURI BAINUN,30250,IPOH,PERAK,PPD KINTA UTARA,1/1/1956,101.096157,4.582129
AEB2052,SEKOLAH MENENGAH KEBANGSAAN AVE MARIA CONVENT,怡保圣母玛利亚国民型华文中学,JLN CHUNG THYE PHIN,30250,IPOH,PERAK,PPD KINTA UTARA,1/1/1938,101.08782,4.589912
AEB2053,SEKOLAH MENENGAH KEBANGSAAN SAM TET,怡保三德国民型华文中学,NO.5 JALAN GEREJA,30300,IPOH,PERAK,PPD KINTA UTARA,1/1/1952,101.089485,4.594415
AEB2054,SEKOLAH MENENGAH KEBANGSAAN POI LAM,怡保培南国民型华文中学,"4, JALAN SRI KLEBANG D/2, BANDAR BARU SRI KLEBANG",31200,CHEMOR,PERAK,PPD KINTA UTARA,1/1/1955,101.117748,4.69107
AEB2055,SEKOLAH MENENGAH KEBANGSAAN YUK CHOY,怡保育才国民型华文中学,NO 6 JLN KUALA KANGSAR,30010,IPOH,PERAK,PPD KINTA UTARA,10/6/1937,101.077716,4.613052
AEB2065,SEKOLAH MENENGAH KEBANGSAAN YUK KWAN,华都牙也育群国民型华文中学,9 JALAN KELAB,31000,BATU GAJAH,PERAK,PPD KINTA SELATAN,1/1/1911,101.039588,4.467271
AEB3042,SEKOLAH MENENGAH KEBANGSAAN KRIAN,吉辇国民型华文中学,JALAN SEKOLAH,34200,PARIT BUNTAR,PERAK,PPD KERIAN,1/4/1960,100.4793223,5.127609159
AEB4073,SEKOLAH MENENGAH KEBANGSAAN TSUNG WAH,江沙崇华国民型华文中学,"66-B,JLN DATO SAGOR",33000,KUALA KANGSAR,PERAK,PPD KUALA KANGSAR,1/1/1956,100.9259874,4.770887396
AEB4076,SEKOLAH MENENGAH KEBANGSAAN SHING CHUNG,和丰兴中国民型华文中学,JALAN BESAR,31100,SUNGAI SIPUT (U),PERAK,PPD KUALA KANGSAR,1/2/1912,101.085419,4.809957
AEB5170,SEKOLAH MENENGAH KEBANGSAAN SAN MIN,安顺三民国民型华文中学,"LOT 1146,JALAN MERBOK",36000,TELUK INTAN,PERAK,PPD HILIR PERAK,31/12/1957,101.026944,4.005761
AEB6054,SEKOLAH MENENGAH KEBANGSAAN HUA LIAN,太平华联国民型华文中学,NO 10 JLN LUMBA KUDA,34008,TAIPING,PERAK,PPD LARUT/MATANG/SELAMA,1/1/1962,100.7517344,4.861010834
AEB9002,SEKOLAH MENENGAH KEBANGSAAN PEI YUAN,金宝培元国民型华文中学,NO 9 JALAN KUALA DIPANG,31900,KAMPAR,PERAK,PPD KINTA SELATAN,1/1/1962,101.155109,4.31915
AEBA002,SEKOLAH MENENGAH KEBANGSAAN KATHOLIK,丹绒马林公教国民型华文中学,JALAN SLIM LAMA,35900,TANJONG MALIM,PERAK,PPD MUALLIM,1/1/1961,101.52532,3.692033
BEB0100,SEKOLAH MENENGAH KEBANGSAAN CHUNG HWA,巴生中华国民型华文中学,"1, JALAN NAGASARI 36/10, SEKSYEN 36",40470,SHAH ALAM,SELANGOR,PPD KLANG,1/12/1912,101.487304,3.024236
BEB0103,SEKOLAH MENENGAH KEBANGSAAN KWANG HUA,巴生光华国民型华文中学,TAMAN ENG ANN,41150,KLANG,SELANGOR,PPD KLANG,26/12/1955,101.459421,3.064536
BEB4070,SEKOLAH MENENGAH KEBANGSAAN YU HUA,加影育华国民型华文中学,JALAN LOW TI KOK,43000,KAJANG,SELANGOR,PPD HULU LANGAT,1/1/1918,101.791168,2.995997
BEB6047,SEKOLAH MENENGAH KEBANGSAAN YOKE KUAN,适耕庄育群国民型华文中学,JALAN SEKOLAH,45400,SEKINCHAN,SELANGOR,PPD SABAK BERNAM,1/1/1959,101.1025751,3.511549704
BEB8653,SEKOLAH MENENGAH KEBANGSAAN KATHOLIK,八打灵公教国民型华文中学,JALAN 10/3,46000,PETALING JAYA,SELANGOR,PPD PETALING UTAMA,1/1/1956,101.651843,3.107431
CEB0020,SEKOLAH MENENGAH KEBANGSAAN KATHOLIK,文冬公教国民型华文中学,"D/A SMK KATHOLIK, JALAN KETARI",28700,BENTONG,PAHANG,PPD BENTONG,14/1/1957,101.9138778,3.519048245
CEB0021,SEKOLAH MENENGAH KEBANGSAAN KHAI MUN,文冬启文国民型华文中学,CHAMANG BARU,28700,BENTONG,PAHANG,PPD BENTONG,10/5/1961,101.8988238,3.531907102
