Code,Name,Name_Chinese,Address,Postcode,City,State,District_Education_Office,Established,X,Y
APF1006,SEKOLAH MENENGAH YIK CHING (PERSENDIRIAN),班台育青中学,PANTAI REMIS,34900,PANTAI REMIS,PERAK,,,100.63316,4.449587
APF1009,SEKOLAH TINGGI NAN HWA (PERSENDIRIAN),曼绒南华独立中学,"LOT 2446, KG. SUNGAI WANGI",32400,AYER TAWAR,PERAK,,12/01/1936,100.725939,4.258175
APF2002,SEKOLAH MENENGAH POI LAM (PERSENDIRIAN),怡保培南中学,"LOT NO. 18274, JALAN SIMPANG PULAI PENGKALAN",31500,LAHAT,PERAK,,,101.073388,4.52435
APF2004,SEKOLAH MENENGAH SHEN JAI (PERSENDIRIAN),怡保深斋中学,"LOT NO.6452, 8225,MUKIM SUNGAI RAIA DAERAH KINTA, OFF JALAN GOPENG",31300,IPOH,PERAK,,,101.112402,4.549612
APF2007,SEKOLAH MENENGAH YUK CHOY (SUWA),霹雳育才独立中学,"NO. 2, HALA JATI MERU 29, JELAPANG",30020,IPOH,PERAK,,,101.072647,4.639772
APF4005,SEKOLAH MENENGAH TSUNG WAH (PERSENDIRIAN),江沙崇华独立中学,LOT 2366 JLN. SULTAN ISKANDAR SHAH,33000,KUALA KANGSAR,PERAK,,,100.923448,4.758701
APF5003,SEKOLAH MENENGAH SAN MIN (PERSENDIRIAN),安顺三民独立中学,JALAN SUNGAI NIBONG,36000,TELUK INTAN,PERAK,,,101.033446,4.018348
APF6008,SEKOLAH TINGGI HUA LIAN (PERSENDIRIAN),太平华联中学,NO. 2 JALAN TOKONG,34000,TAIPING,PERAK,,,100.744459,4.852682
APF9001,SEKOLAH MENENGAH PEI YUAN (PERSENDIRIAN),金宝培元独立中学,NO. 9 JALAN KUALA DIPANG,31900,KAMPAR,PERAK,,,101.1535,4.318929
BPCA001,SEKOLAH MENENGAH PERSENDIRIAN KWANG HUA KLANG,巴生光华独立中学,"NO.1, JALAN 17, KAW. 17, TAMAN ENG ANN",41150,KLANG,SELANGOR,,21/02/1954,101.458289,3.063593
BPCA002,SEKOLAH MENENGAH PIN HWA,巴生滨华中学,NO. 13 JALAN GOH HOCK HUAT,41400,KLANG,SELANGOR,,,101.444878,3.053036
BPCA003,SEKOLAH MENENGAH HIN HUA,巴生兴华中学,NO. 141 PERSIARAN RAJA MUDA MUSA,41200,KLANG,SELANGOR,,,101.439468,3.033403
BPCA004,SEKOLAH MENENGAH PERSENDIRIAN CINA CHUNG HUA,巴生中华独立中学,"NO. 129, JALAN KOTA RAJA",41000,KLANG,SELANGOR,,,101.452844,3.036702
CGAE002,SEKOLAH MENENGAH CHONG HWA,关丹中华中学,BUNUT RENDANG JALAN KUANTAN-PEKAN,25150,KUANTAN,PAHANG,,,103.282282,3.761422
DPC1001,SEKOLAH MENENGAH PERSENDIRIAN CHUNG HWA,吉兰丹中华独立中学,LOT 1614 KOK LANAS,16450,KETEREH,KELANTAN,,,102.248327,5.924207
JPCA001,SEKOLAH MENENGAH CINA BATU PAHAT,峇株吧辖华仁中学,JALAN TANJUNG LABUH,83000,BATU PAHAT,JOHOR,,,102.94811,1.83487
JPCA002,SEKOLAH MENENGAH CHONG HWA RENGIT,新文龙中华中学,JALAN BESAR RENGIT,83100,RENGIT,JOHOR,,,103.14443,1.68198
JPCA003,SEKOLAH MENENGAH CINA YONG PENG,永平中学,JALAN SEKOLAH CINA,83700,YONG PENG,JOHOR,,,103.0626,2.01414
JPCB001,SM FOON YEW JOHOR BAHRU,新山宽柔中学,59-C JALAN IBRAHIM SULTAN,80300,JOHOR BAHRU,JOHOR,,,103.77875,1.46881
JPCB001,SM FOON YEW JOHOR BAHRU - KULAI,宽柔中学古来分校,,81000,KULAI,JOHOR,,,103.61579,1.61891
JPCB001,SM FOON YEW JOHOR BAHRU - SERI ALAM,宽柔中学至达城分校,,81750,MASAI,JOHOR,,,103.882371,1.530109
JPCC001,SEKOLAH MENENGAH CHONG HWA KLUANG,居銮中华中学,JALAN SEKOLAH CHONG HWA,86000,KLUANG,JOHOR,,,103.326072,2.02715
JPCF001,SEKOLAH MENENGAH PERSENDIRIAN PEI HWA,利丰港培华独立中学,NO.53 JALAN SEROM,84400,SUNGAI MATI,JOHOR,,,102.56354,2.15136
JPCF002,SEKOLAH TINGGI CHUNG HWA MUAR,麻坡中化中学,NO 14 JALAN JUNID,84000,MUAR,JOHOR,,,102.55426,2.03956
