Name,Name_C,Type,District,State,Established,Majority_Ethnic,Majority_Dialect,X,Y,Notes
Ayer Hitam,亚依淡,Kampung Baru Tradisional,Batu Pahat,Johor,1952,Chinese,,103.18301,1.91374,
Kangkar Bahru,新港,Kampung Baru Tradisional,Batu Pahat,Johor,1950,Chinese,Foochow,103.12355,2.06371,
Lam Lee,南利,Kampung Baru Tradisional,Batu Pahat,Johor,1950,Chinese,Foochow,103.04598,2.09413,
Parit Raja,巴力拉惹,Kampung Baru Tradisional,Batu Pahat,Johor,1950,Chinese,,103.1179,1.86813,
Parit Sulong,巴力士隆,Kampung Baru Tradisional,Batu Pahat,Johor,1952,Chinese,,102.88282,1.97587,
Parit Yaani,巴力安尼,Kampung Baru Tradisional,Batu Pahat,Johor,1950,Chinese,,103.0239,1.95165,
Rengit,龙引,Kampung Baru Tradisional,Batu Pahat,Johor,1950,Chinese,Hokkien,103.14525,1.6801,
Semerah,圣模那,Kampung Baru Tradisional,Batu Pahat,Johor,1950,Chinese,,102.7825,1.88331,
Senggarang,新加兰,Kampung Baru Tradisional,Batu Pahat,Johor,1950,Chinese,Hokkien,103.0523,1.74912,
Sri Gading,四加亭,Kampung Baru Tradisional,Batu Pahat,Johor,1950,Chinese,,103.03044,1.85416,
Sri Medan,铁山,Kampung Baru Tradisional,Batu Pahat,Johor,1950,Chinese,Hokkien,102.95638,1.98371,
Tongkang Pechah,中江,Kampung Baru Tradisional,Batu Pahat,Johor,1954,Chinese,Hokkien,102.95545,1.91891,
Yong Peng,永平,Kampung Baru Tradisional,Batu Pahat,Johor,1950,Chinese,Foochow,103.06362,2.01457,
Kangkar Senangar,港脚（张厝港）,Kampung Baru Rangkaian,Batu Pahat,Johor,,Chinese,,102.883,2.02659,
Minyak Beku,米那务固（海口）,Kampung Baru Rangkaian,Batu Pahat,Johor,,Chinese,,102.90553,1.80138,
Panchor,班卒,Kampung Baru Rangkaian,Batu Pahat,Johor,,Chinese,Teochew,103.003,1.86702,
Parit Buloh,巴力务鲁,Kampung Baru Rangkaian,Batu Pahat,Johor,,Chinese,Hokkien,102.98936,1.88998,
Sin Lik,新立村,Kampung Baru Rangkaian,Batu Pahat,Johor,,Chinese,Kwongsai,103.14353,2.07092,
Bagan / Parit Besar,峇眼大巴力,Kampung Bagan,Batu Pahat,Johor,,Chinese,Hokkien,102.8502,1.84296,
Segenting,石文丁,Kampung Bagan,Batu Pahat,Johor,,Chinese,Hokkien,102.89324,1.7845,
Ban Foo,万孚,Kampung Baru Tradisional,Johor Bahru,Johor,1950,Chinese,Hakka,103.8538,1.56709,
Gelang Patah,振林山,Kampung Baru Tradisional,Johor Bahru,Johor,1950,Chinese,,103.58948,1.45079,
Kangkar Pulai,江加埔来,Kampung Baru Tradisional,Johor Bahru,Johor,1950,Chinese,Hakka,103.59386,1.55715,
Kangkar Tebrau,陈厝港,Kampung Baru Tradisional,Johor Bahru,Johor,1951,Chinese,,103.75846,1.53586,
Lima Kedai,五间店,Kampung Baru Tradisional,Johor Bahru,Johor,1950,Chinese,,103.61698,1.50231,
Masai,马西（李厝港）,Kampung Baru Tradisional,Johor Bahru,Johor,1952,Chinese,"Teochew, Hakka",103.88329,1.49109,
Pandan,班兰,Kampung Baru Tradisional,Johor Bahru,Johor,1950,Chinese,Hakka,103.7667,1.52732,
Plentong,避兰东（郑厝港）,Kampung Baru Tradisional,Johor Bahru,Johor,1950,Chinese,Hakka,103.82266,1.52423,
Skudai,士姑来,Kampung Baru Tradisional,Johor Bahru,Johor,1950,Chinese,,103.65987,1.53757,
Ulu Choh,乌鲁槽,Kampung Baru Tradisional,Johor Bahru,Johor,1950,Chinese,,103.54556,1.53309,
Ulu Tiram,乌鲁地南,Kampung Baru Tradisional,Johor Bahru,Johor,1951,Chinese,,103.81768,1.59958,
Kempas Baru,甘拔士峇鲁,Kampung Baru Rangkaian,Johor Bahru,Johor,,Chinese,,103.70505,1.52877,
Ungku Mohsin,翁姑慕申,Kampung Baru Rangkaian,Johor Bahru,Johor,,Chinese,,103.73904,1.51341,
Tampoi,淡杯,Kampung Baru Rangkaian,Johor Bahru,Johor,,Chinese,,103.70283,1.49986,
Chamek,占美,Kampung Baru Tradisional,Kluang,Johor,1949,Chinese,Hokkien,103.23871,2.13994,
Kahang,加亨,Kampung Baru Tradisional,Kluang,Johor,1952,Chinese,Hokkien,103.54156,2.21365,
Kampung Gajah,佳雅,Kampung Baru Tradisional,Kluang,Johor,1952,Chinese,,103.39361,2.10389,
Kampung Paya,甘光巴野,Kampung Baru Tradisional,Kluang,Johor,1950,Chinese,"Hokkien, Hakka",103.33556,2.04222,
Layang-Layang,拉央拉央,Kampung Baru Tradisional,Kluang,Johor,1952,Chinese,,103.47757,1.81562,
Machap,吗什,Kampung Baru Tradisional,Kluang,Johor,1952,Chinese,,103.26278,1.88278,
Niyor,梁站,Kampung Baru Tradisional,Kluang,Johor,1954,Chinese,,103.27917,2.09472,
Paloh,巴罗,Kampung Baru Tradisional,Kluang,Johor,1952,Chinese,Hokkien,103.19654,2.19175,
Renggam,令金,Kampung Baru Tradisional,Kluang,Johor,1951,Chinese,,103.39919,1.88964,
Simpang Renggam,新邦令金,Kampung Baru Tradisional,Kluang,Johor,1952,Chinese,,103.30889,1.825,
Seri Lalang,实里拉龙,Kampung Baru Tradisional,Kluang,Johor,1952,Chinese,"Hakka, Cantonese",103.25306,1.99389,
Sungai Sayong,双溪沙翁,Kampung Baru Tradisional,Kluang,Johor,1950,Chinese,,103.37333,1.9225,
"Batu 24, Kahang",加亨廿四碑村,Kampung Baru Rangkaian,Kluang,Johor,,Chinese,Foochow,103.55461,2.23064,
Central Paloh,圣德巴罗村,Kampung Baru Rangkaian,Kluang,Johor,,Chinese,,103.21917,2.17528,
Dato' Abdul Rahman Yassin,九皇爷村,Kampung Baru Rangkaian,Kluang,Johor,,Chinese,Hakka,103.33769,2.01772,
Gunung Lambak,君隆南峇（霸王村）,Kampung Baru Rangkaian,Kluang,Johor,,Chinese,,103.32945,2.02338,
Senda,星打村,Kampung Baru Rangkaian,Kluang,Johor,,Chinese,,103.40239,1.89021,
Yap Tau Sah,叶陶沙村,Kampung Baru Rangkaian,Kluang,Johor,,Chinese,Hakka,103.32778,2.01694,
Pasir Gogok,巴西高谷,Kampung Baru Tradisional,Kota Tinggi,Johor,1952,Chinese,Hakka,104.10078,1.41925,
Sungai Rengit,四湾岛,Kampung Baru Tradisional,Kota Tinggi,Johor,1952,Chinese,Hokkien,104.22213,1.35033,
Teluk Sengat,南亚港,Kampung Baru Tradisional,Kota Tinggi,Johor,1952,Chinese,"Teochew, Hainanese",104.0318,1.5621,
Batu 2 Jalan Lombong,龙望路二条石村,Kampung Baru Rangkaian,Kota Tinggi,Johor,,Chinese,,103.89106,1.75165,
Lukut Cina,卢骨支那,Kampung Baru Rangkaian,Kota Tinggi,Johor,,Chinese,,103.91051,1.74447,
Kota Kecil,小哥打,Kampung Baru Rangkaian,Kota Tinggi,Johor,,Chinese,,103.90469,1.74087,gazetted 2022
Tai Hong,泰丰港,Kampung Baru Rangkaian,Kota Tinggi,Johor,,Chinese,,103.85748,1.7385,gazetted 2022
Air Bemban,亚逸文满（廿九碑）,Kampung Baru Tradisional,Kulai,Johor,1950,Chinese,Hakka,103.48466,1.69883,
Bukit Batu,武吉峇都,Kampung Baru Tradisional,Kulai,Johor,1950,Chinese,,103.44379,1.73408,
Kelapa Sawit,加拉巴沙威（廿六碑）,Kampung Baru Tradisional,Kulai,Johor,1950,Chinese,Hakka,103.53051,1.67143,
Kulai,古来,Kampung Baru Tradisional,Kulai,Johor,1950,Chinese,Hakka,103.6006,1.6585,
Saleng,沙令（十七碑）,Kampung Baru Tradisional,Kulai,Johor,1950,Chinese,Hakka,103.63385,1.62975,
Sedenak,士年纳,Kampung Baru Tradisional,Kulai,Johor,1951,Chinese,,103.52666,1.71063,
Seelong,泗隆,Kampung Baru Tradisional,Kulai,Johor,1951,Chinese,Hakka,103.69536,1.6301,
